"","adm2_code","mean","date"
"98","77317",34.1129505044704,2024-11-24
"99","77364",32.9872779172057,2024-11-25
"100","77317",10.7154992808971,2024-11-25
"101","77364",39.9903693057121,2024-11-26
"102","77317",24.0474368339998,2024-11-26
"103","77364",28.755225613699,2024-11-27
"104","77317",28.4929699341741,2024-11-27
"105","77364",36.1060130800364,2024-11-28
"106","77317",32.4922378400372,2024-11-28
"107","77364",40.8581416151944,2024-11-29
"108","77317",35.9060754938323,2024-11-29
"109","77364",35.4935561322592,2024-11-30
"110","77317",33.979447559633,2024-11-30
"111","77364",38.1581780941593,2024-12-01
"112","77317",13.4846354204679,2024-12-01
"113","77364",37.7912779248316,2024-12-02
"114","77317",32.5278711095569,2024-12-02
"115","77364",39.9432082821505,2024-12-03
"116","77317",32.2887430085366,2024-12-03
"117","77364",44.532901121111,2024-12-04
"118","77317",27.9998850449519,2024-12-04
"119","77317",30.0077329261143,2024-12-05
"120","77364",34.9156676191049,2024-12-06
"121","77364",42.3609623546792,2024-12-07
"122","77317",34.1799096079305,2024-12-07
"123","77364",37.7396537462984,2024-12-08
"124","77317",34.2750000020587,2024-12-08
"125","77364",32.8364231229907,2024-12-09
"126","77317",34.3402360325172,2024-12-09
"127","77364",37.7,2024-12-10
"128","77317",37.5168831264339,2024-12-10
"129","77364",43.9751370733348,2024-12-11
"130","77317",32.7060061993273,2024-12-11
"131","77364",40.6132134695635,2024-12-12
"132","77317",9.57979534446341,2024-12-12
"133","77364",39.1526608136408,2024-12-13
"134","77317",10.2261529618248,2024-12-13
"135","77364",41.8966372191937,2024-12-14
"136","77317",36.4279377888966,2024-12-14
"137","77317",17.3442394133803,2024-12-15
"138","77364",38.6375218466027,2024-12-16
"139","77317",29.3620103185028,2024-12-16
"140","77317",32.7862876302228,2024-12-17
"141","77364",34.5860336039376,2024-12-18
"142","77317",32.2729315438299,2024-12-18
"143","77364",30.5422104883627,2024-12-19
"144","77317",35.9951169691786,2024-12-19
"145","77364",28.4167201648323,2024-12-20
"146","77317",34.3607560046073,2024-12-20
"147","77364",32.6744061797838,2024-12-21
"148","77317",32.761221461008,2024-12-21
"149","77317",35.5967661760248,2024-12-22
"150","77317",31.6578780423326,2024-12-23
"151","77364",33.1289395156062,2024-12-24
"152","77317",37.2791317703148,2024-12-24
"153","77317",44.5974603493281,2024-12-25
"154","77364",32.7570172290535,2024-12-26
"155","77317",36.3391505820239,2024-12-26
"156","77317",35.1690560933538,2024-12-27
"157","77364",32.5786203633354,2024-12-28
"158","77317",36.8215942105801,2024-12-28
"159","77364",36.3077637435372,2024-12-29
"160","77317",35.5594423764961,2024-12-29
"161","77364",31.1461228189062,2024-12-30
"162","77317",29.9081250237085,2024-12-30
"163","77364",33.9983162027632,2024-12-31
"164","77317",34.8234586427267,2024-12-31
"165","77317",36.4928512264635,2025-01-01
"166","77364",28.9881443995316,2025-01-02
"167","77317",33.6593551792118,2025-01-02
"168","77364",34.6257214832138,2025-01-03
"169","77317",38.3497945743816,2025-01-03
"170","77364",34.1744526951783,2025-01-04
"171","77317",38.4018245308515,2025-01-04
"172","77364",31.2692733350217,2025-01-05
"173","77317",26.2612050395927,2025-01-05
"174","77317",34.2948805822433,2025-01-06
"175","77317",33.5455371448965,2025-01-07
"176","77364",34.4352475211107,2025-01-08
"177","77317",36.4922898705545,2025-01-08
"178","77364",29.516264694231,2025-01-09
"179","77317",36.8026753658855,2025-01-09
"180","77364",31.0152826418093,2025-01-10
"181","77317",32.0120617001997,2025-01-10
"182","77317",37.0739392353616,2025-01-11
"183","77317",33.0107158096655,2025-01-12
"184","77364",28.159545099966,2025-01-13
"185","77317",39.353033031574,2025-01-13
"186","77364",27.4625957138228,2025-01-14
"187","77364",31.8463196281016,2025-01-15
"188","77317",30.1383284042943,2025-01-15
"189","77364",30.938819749389,2025-01-16
"190","77317",34.5719175553384,2025-01-16
"191","77317",37.3706547780473,2025-01-17
"192","77364",32.6860027079272,2025-01-18
"193","77317",37.2149260118905,2025-01-18
"194","77364",33.4238816332305,2025-01-19
"195","77317",37.9110977322298,2025-01-19
"196","77364",39.3216883722746,2025-01-20
"197","77317",31.2829023240275,2025-01-20
"198","77364",33.7976944695719,2025-01-21
"199","77317",40.6176634586721,2025-01-21
"200","77364",35.5610894642935,2025-01-22
"201","77317",42.0047234193549,2025-01-22
"202","77364",35.1109201176471,2025-01-23
"203","77317",37.7618970481276,2025-01-23
"204","77364",33.1764884467991,2025-01-24
"205","77317",37.8472293638937,2025-01-24
"206","77364",38.5248249519422,2025-01-25
"207","77317",36.6018449791639,2025-01-25
"208","77364",37.362048406858,2025-01-26
"209","77317",35.877755367461,2025-01-26
"210","77364",40.2929084345423,2025-01-27
"211","77317",33.6738918338786,2025-01-27
"212","77364",40.1326166960052,2025-01-28
"213","77317",42.1366910274723,2025-01-28
"214","77364",37.5591846320309,2025-01-29
